v(b0) v(b1) v(b2) v(b3) v(b4) v(b5) v(b6) i(Viout) v(Vout)
0 0 0 0 0 0 0 8.27959923E-12 1.8
1 0 0 0 0 0 0 9.51425271E-07 1.8
0 1 0 0 0 0 0 2.03244398E-06 1.8
1 1 0 0 0 0 0 3.1953858E-06 1.8
0 0 1 0 0 0 0 4.40899842E-06 1.8
1 0 1 0 0 0 0 5.64521581E-06 1.8
0 1 1 0 0 0 0 6.9292154E-06 1.8
1 1 1 0 0 0 0 8.22668338E-06 1.8
0 0 0 1 0 0 0 9.56217712E-06 1.8
1 0 0 1 0 0 0 1.08522693E-05 1.8
0 1 0 1 0 0 0 1.21955329E-05 1.8
1 1 0 1 0 0 0 1.35658091E-05 1.8
0 0 1 1 0 0 0 1.49261175E-05 1.8
1 0 1 1 0 0 0 1.62980531E-05 1.8
0 1 1 1 0 0 0 1.76424022E-05 1.8
1 1 1 1 0 0 0 1.87664464E-05 1.8
0 0 0 0 1 0 0 2.04643493E-05 1.8
1 0 0 0 1 0 0 2.17722273E-05 1.8
0 1 0 0 1 0 0 2.31491873E-05 1.8
1 1 0 0 1 0 0 2.45498637E-05 1.8
0 0 1 0 1 0 0 2.59455297E-05 1.8
1 0 1 0 1 0 0 2.73462038E-05 1.8
0 1 1 0 1 0 0 2.87635416E-05 1.8
1 1 1 0 1 0 0 3.011517E-05 1.8
0 0 0 1 1 0 0 3.15907051E-05 1.8
1 0 0 1 1 0 0 3.29819528E-05 1.8
0 1 0 1 1 0 0 3.44034897E-05 1.8
1 1 0 1 1 0 0 3.58245761E-05 1.8
0 0 1 1 1 0 0 3.71904857E-05 1.8
1 0 1 1 1 0 0 3.8472403E-05 1.8
0 1 1 1 1 0 0 3.95391776E-05 1.8
1 1 1 1 1 0 0 4.02397712E-05 1.8
0 0 0 0 0 1 0 4.2981263E-05 1.8
1 0 0 0 0 1 0 4.42626882E-05 1.8
0 1 0 0 0 1 0 4.56377466E-05 1.8
1 1 0 0 0 1 0 4.70387525E-05 1.8
0 0 1 0 0 1 0 4.84424674E-05 1.8
1 0 1 0 0 1 0 4.98436737E-05 1.8
0 1 1 0 0 1 0 5.1268582E-05 1.8
1 1 1 0 0 1 0 5.26693988E-05 1.8
0 0 0 1 0 1 0 5.41167826E-05 1.8
1 0 0 1 0 1 0 5.5506556E-05 1.8
0 1 0 1 0 1 0 5.69377307E-05 1.8
1 1 0 1 0 1 0 5.83864943E-05 1.8
0 0 1 1 0 1 0 5.98117551E-05 1.8
1 0 1 1 0 1 0 6.12279398E-05 1.8
0 1 1 1 0 1 0 6.25523665E-05 1.8
1 1 1 1 0 1 0 6.35571048E-05 1.8
0 0 0 0 1 1 0 6.55229163E-05 1.8
1 0 0 0 1 1 0 6.68913256E-05 1.8
0 1 0 0 1 1 0 6.83170863E-05 1.8
1 1 0 0 1 1 0 6.97627733E-05 1.8
0 0 1 0 1 1 0 7.11942115E-05 1.8
1 0 1 0 1 1 0 7.26294748E-05 1.8
0 1 1 0 1 1 0 7.40636181E-05 1.8
1 1 1 0 1 1 0 7.53706855E-05 1.8
0 0 0 1 1 1 0 7.69007071E-05 1.8
1 0 0 1 1 1 0 7.82680774E-05 1.8
0 1 0 1 1 1 0 7.96192581E-05 1.8
1 1 0 1 1 1 0 8.08992956E-05 1.8
0 0 1 1 1 1 0 8.20420085E-05 1.8
1 0 1 1 1 1 0 8.30065027E-05 1.8
0 1 1 1 1 1 0 8.37224916E-05 1.8
1 1 1 1 1 1 0 8.41581018E-05 1.8
0 0 0 0 0 0 1 8.9008588E-05 1.8
1 0 0 0 0 0 1 9.01881329E-05 1.8
0 1 0 0 0 0 1 9.14940373E-05 1.8
1 1 0 0 0 0 1 9.28411163E-05 1.8
0 0 1 0 0 0 1 9.42077325E-05 1.8
1 0 1 0 0 0 1 9.55730985E-05 1.8
0 1 1 0 0 0 1 9.69685773E-05 1.8
1 1 1 0 0 0 1 9.83587413E-05 1.8
0 0 0 1 0 0 1 9.97775019E-05 1.8
1 0 0 1 0 0 1 0.000101139372 1.8
0 1 0 1 0 0 1 0.000102548421 1.8
1 1 0 1 0 0 1 0.000103978558 1.8
0 0 1 1 0 0 1 0.000105391588 1.8
1 0 1 1 0 0 1 0.000106810159 1.8
0 1 1 1 0 0 1 0.000108188351 1.8
1 1 1 1 0 0 1 0.000109321403 1.8
0 0 0 0 1 0 1 0.000111085286 1.8
1 0 0 0 1 0 1 0.000112427048 1.8
0 1 0 0 1 0 1 0.000113834582 1.8
1 1 0 0 1 0 1 0.000115263392 1.8
0 0 1 0 1 0 1 0.000116683692 1.8
1 0 1 0 1 0 1 0.000118107538 1.8
0 1 1 0 1 0 1 0.000119544631 1.8
1 1 1 0 1 0 1 0.000120905625 1.8
0 0 0 1 1 0 1 0.000122405117 1.8
1 0 0 1 1 0 1 0.000123809889 1.8
0 1 0 1 1 0 1 0.000125240308 1.8
1 1 0 1 1 0 1 0.000126662609 1.8
0 0 1 1 1 0 1 0.000128018577 1.8
1 0 1 1 1 0 1 0.000129272747 1.8
0 1 1 1 1 0 1 0.000130295693 1.8
1 1 1 1 1 0 1 0.000130956456 1.8
0 0 0 0 0 1 1 0.000133819572 1.8
1 0 0 0 0 1 1 0.000135113673 1.8
0 1 0 0 0 1 1 0.000136496162 1.8
1 1 0 0 0 1 1 0.000137903112 1.8
0 0 1 0 0 1 1 0.000139310383 1.8
1 0 1 0 0 1 1 0.000140715117 1.8
0 1 1 0 0 1 1 0.000142142075 1.8
1 1 1 0 0 1 1 0.000143540092 1.8
0 0 0 1 0 1 1 0.000144990322 1.8
1 0 0 1 0 1 1 0.000146381234 1.8
0 1 0 1 0 1 1 0.000147812065 1.8
1 1 0 1 0 1 1 0.000149259068 1.8
0 0 1 1 0 1 1 0.000150680368 1.8
1 0 1 1 0 1 1 0.00015208706 1.8
0 1 1 1 0 1 1 0.000153388236 1.8
1 1 1 1 0 1 1 0.000154357148 1.8
0 0 0 0 1 1 1 0.000156372075 1.8
1 0 0 0 1 1 1 0.000157736558 1.8
0 1 0 0 1 1 1 0.000159155649 1.8
1 1 0 0 1 1 1 0.000160593076 1.8
0 0 1 0 1 1 1 0.000162013699 1.8
1 0 1 0 1 1 1 0.000163435786 1.8
0 1 1 0 1 1 1 0.000164850197 1.8
1 1 1 0 1 1 1 0.000166124011 1.8
0 0 0 1 1 1 1 0.000167632896 1.8
1 0 0 1 1 1 1 0.000168958194 1.8
0 1 0 1 1 1 1 0.00017025071 1.8
1 1 0 1 1 1 1 0.000171453705 1.8
0 0 1 1 1 1 1 0.000172506811 1.8
1 0 1 1 1 1 1 0.000173377898 1.8
0 1 1 1 1 1 1 0.000174014701 1.8
1 1 1 1 1 1 1 0.000174399394 1.8
