v(b0) v(b1) v(b2) v(b3) v(b4) v(b5) v(b6) i(Viout) v(Vout)
0 0 0 0 0 0 0 8.61621885E-12 1.8
1 0 0 0 0 0 0 1.13702865E-06 1.8
0 1 0 0 0 0 0 2.38927421E-06 1.8
1 1 0 0 0 0 0 2.8363781E-06 1.8
0 0 1 0 0 0 0 5.09723847E-06 1.8
1 0 1 0 0 0 0 5.77749194E-06 1.8
0 1 1 0 0 0 0 6.02752043E-06 1.8
1 1 1 0 0 0 0 6.07372465E-06 1.8
0 0 0 1 0 0 0 1.07716213E-05 1.8
1 0 0 1 0 0 0 1.16801383E-05 1.8
0 1 0 1 0 0 0 1.21961454E-05 1.8
1 1 0 1 0 0 0 1.22868959E-05 1.8
0 0 1 1 0 0 0 1.27504924E-05 1.8
1 0 1 1 0 0 0 1.28150076E-05 1.8
0 1 1 1 0 0 0 1.28457959E-05 1.8
1 1 1 1 0 0 0 1.28524369E-05 1.8
0 0 0 0 1 0 0 2.25172124E-05 1.8
1 0 0 0 1 0 0 2.36501318E-05 1.8
0 1 0 0 1 0 0 2.45627986E-05 1.8
1 1 0 0 1 0 0 2.47744213E-05 1.8
0 0 1 0 1 0 0 2.58241373E-05 1.8
1 0 1 0 1 0 0 2.5972444E-05 1.8
0 1 1 0 1 0 0 2.60348975E-05 1.8
1 1 1 0 1 0 0 2.60475817E-05 1.8
0 0 0 1 1 0 0 2.71212518E-05 1.8
1 0 0 1 1 0 0 2.72090532E-05 1.8
0 1 0 1 1 0 0 2.72654492E-05 1.8
1 1 0 1 1 0 0 2.7276112E-05 1.8
0 0 1 1 1 0 0 2.73381319E-05 1.8
1 0 1 1 1 0 0 2.73479172E-05 1.8
0 1 1 1 1 0 0 2.73527741E-05 1.8
1 1 1 1 1 0 0 2.73538267E-05 1.8
0 0 0 0 0 1 0 4.63960294E-05 1.8
1 0 0 0 0 1 0 4.77559403E-05 1.8
0 1 0 0 0 1 0 4.91123402E-05 1.8
1 1 0 0 0 1 0 4.95225021E-05 1.8
0 0 1 0 0 1 0 5.17543711E-05 1.8
1 0 1 0 0 1 0 5.22321228E-05 1.8
0 1 1 0 0 1 0 5.24204397E-05 1.8
1 1 1 0 0 1 0 5.24572189E-05 1.8
0 0 0 1 0 1 0 5.61263406E-05 1.8
1 0 0 1 0 1 0 5.64895852E-05 1.8
0 1 0 1 0 1 0 5.67041816E-05 1.8
1 1 0 1 0 1 0 5.67433708E-05 1.8
0 0 1 1 0 1 0 5.69594449E-05 1.8
1 0 1 1 0 1 0 5.69917886E-05 1.8
0 1 1 1 0 1 0 5.70076135E-05 1.8
1 1 1 1 0 1 0 5.70110361E-05 1.8
