v(b0) v(b1) v(b2) v(b3) v(b4) v(b5) v(b6) i(Viout) v(Vout)
0 0 0 0 0 0 0 6.62936372E-12 1.8
1 0 0 0 0 0 0 2.00487449E-08 1.8
0 1 0 0 0 0 0 1.25564334E-07 1.8
1 1 0 0 0 0 0 2.01893366E-07 1.8
0 0 1 0 0 0 0 5.92116592E-07 1.8
1 0 1 0 0 0 0 6.95344875E-07 1.8
0 1 1 0 0 0 0 9.71654513E-07 1.8
1 1 1 0 0 0 0 1.13974686E-06 1.8
0 0 0 1 0 0 0 2.48686348E-06 1.8
1 0 0 1 0 0 0 2.60836617E-06 1.8
0 1 0 1 0 0 0 2.96630244E-06 1.8
1 1 0 1 0 0 0 3.17467516E-06 1.8
0 0 1 1 0 0 0 3.98369792E-06 1.8
1 0 1 1 0 0 0 4.18911633E-06 1.8
0 1 1 1 0 0 0 4.68646315E-06 1.8
1 1 1 1 0 0 0 4.98054279E-06 1.8
0 0 0 0 1 0 0 9.2210101E-06 1.8
1 0 0 0 1 0 0 9.33325483E-06 1.8
0 1 0 0 1 0 0 9.70815695E-06 1.8
1 1 0 0 1 0 0 9.92797287E-06 1.8
0 0 1 0 1 0 0 1.08372557E-05 1.8
1 0 1 0 1 0 0 1.10561783E-05 1.8
0 1 1 0 1 0 0 1.15978945E-05 1.8
1 1 1 0 1 0 0 1.19123133E-05 1.8
0 0 0 1 1 0 0 1.40090017E-05 1.8
1 0 0 1 1 0 0 1.42062902E-05 1.8
0 1 0 1 1 0 0 1.47513431E-05 1.8
1 1 0 1 1 0 0 1.50633491E-05 1.8
0 0 1 1 1 0 0 1.62113177E-05 1.8
1 0 1 1 1 0 0 1.65061846E-05 1.8
0 1 1 1 1 0 0 1.71947338E-05 1.8
1 1 1 1 1 0 0 1.75995554E-05 1.8
0 0 0 0 0 1 0 2.89843882E-05 1.8
1 0 0 0 0 1 0 2.90610058E-05 1.8
0 1 0 0 0 1 0 2.93564046E-05 1.8
1 1 0 0 0 1 0 2.95398796E-05 1.8
0 0 1 0 0 1 0 3.0330073E-05 1.8
1 0 1 0 0 1 0 3.05198547E-05 1.8
0 1 1 0 0 1 0 3.10021843E-05 1.8
1 1 1 0 0 1 0 3.12838646E-05 1.8
0 0 0 1 0 1 0 3.329535E-05 1.8
1 0 0 1 0 1 0 3.34727305E-05 1.8
0 1 0 1 0 1 0 3.39769486E-05 1.8
1 1 0 1 0 1 0 3.4264778E-05 1.8
0 0 1 1 0 1 0 3.53477915E-05 1.8
1 0 1 1 0 1 0 3.56202588E-05 1.8
0 1 1 1 0 1 0 3.62666869E-05 1.8
1 1 1 1 0 1 0 3.66452532E-05 1.8
0 0 0 0 1 1 0 4.14775055E-05 1.8
1 0 0 0 1 1 0 4.16215161E-05 1.8
0 1 0 0 1 1 0 4.2080771E-05 1.8
1 1 0 0 1 1 0 4.23457434E-05 1.8
0 0 1 0 1 1 0 4.34118184E-05 1.8
1 0 1 0 1 1 0 4.36694317E-05 1.8
0 1 1 0 1 1 0 4.43010692E-05 1.8
1 1 1 0 1 1 0 4.46673619E-05 1.8
