v(b0),v(b1),v(b2),v(b3),v(b4),v(b5),v(b6),i(Viout),v(Vout)
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1.5625E-06,0.015625
0,1,0,0,0,0,0,2.34375E-06,0.0234375
1,1,0,0,0,0,0,3.90625E-06,0.0390625
0,0,1,0,0,0,0,4.296875E-06,0.04296875
1,0,1,0,0,0,0,5.859375E-06,0.05859375
0,1,1,0,0,0,0,6.640625E-06,0.06640625
1,1,1,0,0,0,0,8.203125E-06,0.08203125
0,0,0,1,0,0,0,8.3984375E-06,0.083984375
1,0,0,1,0,0,0,9.9609375E-06,0.099609375
0,1,0,1,0,0,0,1.07421875E-05,0.107421875
1,1,0,1,0,0,0,1.23046875E-05,0.123046875
0,0,1,1,0,0,0,1.26953125E-05,0.126953125
1,0,1,1,0,0,0,1.42578125E-05,0.142578125
0,1,1,1,0,0,0,1.50390625E-05,0.150390625
1,1,1,1,0,0,0,1.66015625E-05,0.166015625
0,0,0,0,1,0,0,1.66992188E-05,0.166992188
1,0,0,0,1,0,0,1.82617188E-05,0.182617188
0,1,0,0,1,0,0,1.90429688E-05,0.190429688
1,1,0,0,1,0,0,2.06054688E-05,0.206054688
0,0,1,0,1,0,0,2.09960938E-05,0.209960938
1,0,1,0,1,0,0,2.25585938E-05,0.225585938
0,1,1,0,1,0,0,2.33398438E-05,0.233398438
1,1,1,0,1,0,0,2.49023438E-05,0.249023438
0,0,0,1,1,0,0,2.50976563E-05,0.250976563
1,0,0,1,1,0,0,2.66601563E-05,0.266601563
0,1,0,1,1,0,0,2.74414063E-05,0.274414063
1,1,0,1,1,0,0,2.90039063E-05,0.290039062
0,0,1,1,1,0,0,2.93945313E-05,0.293945312
1,0,1,1,1,0,0,3.09570313E-05,0.309570313
0,1,1,1,1,0,0,3.17382813E-05,0.317382813
1,1,1,1,1,0,0,3.33007812E-05,0.333007812
0,0,0,0,0,1,0,3.33496094E-05,0.333496094
1,0,0,0,0,1,0,3.49121094E-05,0.349121094
0,1,0,0,0,1,0,3.56933594E-05,0.356933594
1,1,0,0,0,1,0,3.72558594E-05,0.372558594
0,0,1,0,0,1,0,3.76464844E-05,0.376464844
1,0,1,0,0,1,0,3.92089844E-05,0.392089844
0,1,1,0,0,1,0,3.99902344E-05,0.399902344
1,1,1,0,0,1,0,4.15527344E-05,0.415527344
0,0,0,1,0,1,0,4.17480469E-05,0.417480469
1,0,0,1,0,1,0,4.33105469E-05,0.433105469
0,1,0,1,0,1,0,4.40917969E-05,0.440917969
1,1,0,1,0,1,0,4.56542969E-05,0.456542969
0,0,1,1,0,1,0,4.60449219E-05,0.460449219
1,0,1,1,0,1,0,4.76074219E-05,0.476074219
0,1,1,1,0,1,0,4.83886719E-05,0.483886719
1,1,1,1,0,1,0,4.99511719E-05,0.499511719
0,0,0,0,1,1,0,5.00488281E-05,0.500488281
1,0,0,0,1,1,0,5.16113281E-05,0.516113281
0,1,0,0,1,1,0,5.23925781E-05,0.523925781
1,1,0,0,1,1,0,5.39550781E-05,0.539550781
0,0,1,0,1,1,0,5.43457031E-05,0.543457031
1,0,1,0,1,1,0,5.59082031E-05,0.559082031
0,1,1,0,1,1,0,5.66894531E-05,0.566894531
1,1,1,0,1,1,0,5.82519531E-05,0.582519531
0,0,0,1,1,1,0,5.84472656E-05,0.584472656
1,0,0,1,1,1,0,6.00097656E-05,0.600097656
0,1,0,1,1,1,0,6.07910156E-05,0.607910156
1,1,0,1,1,1,0,6.23535156E-05,0.623535156
0,0,1,1,1,1,0,6.27441406E-05,0.627441406
1,0,1,1,1,1,0,6.43066406E-05,0.643066406
0,1,1,1,1,1,0,6.50878906E-05,0.650878906
1,1,1,1,1,1,0,6.66503906E-05,0.666503906
0,0,0,0,0,0,1,6.66748047E-05,0.666748047
1,0,0,0,0,0,1,6.82373047E-05,0.682373047
0,1,0,0,0,0,1,6.90185547E-05,0.690185547
1,1,0,0,0,0,1,7.05810547E-05,0.705810547
0,0,1,0,0,0,1,7.09716797E-05,0.709716797
1,0,1,0,0,0,1,7.25341797E-05,0.725341797
0,1,1,0,0,0,1,7.33154297E-05,0.733154297
1,1,1,0,0,0,1,7.48779297E-05,0.748779297
0,0,0,1,0,0,1,7.50732422E-05,0.750732422
1,0,0,1,0,0,1,7.66357422E-05,0.766357422
0,1,0,1,0,0,1,7.74169922E-05,0.774169922
1,1,0,1,0,0,1,7.89794922E-05,0.789794922
0,0,1,1,0,0,1,7.93701172E-05,0.793701172
1,0,1,1,0,0,1,8.09326172E-05,0.809326172
0,1,1,1,0,0,1,8.17138672E-05,0.817138672
1,1,1,1,0,0,1,8.32763672E-05,0.832763672
0,0,0,0,1,0,1,8.33740234E-05,0.833740234
1,0,0,0,1,0,1,8.49365234E-05,0.849365234
0,1,0,0,1,0,1,8.57177734E-05,0.857177734
1,1,0,0,1,0,1,8.72802734E-05,0.872802734
0,0,1,0,1,0,1,8.76708984E-05,0.876708984
1,0,1,0,1,0,1,8.92333984E-05,0.892333984
0,1,1,0,1,0,1,9.00146484E-05,0.900146484
1,1,1,0,1,0,1,9.15771484E-05,0.915771484
0,0,0,1,1,0,1,9.17724609E-05,0.917724609
1,0,0,1,1,0,1,9.33349609E-05,0.933349609
0,1,0,1,1,0,1,9.41162109E-05,0.941162109
1,1,0,1,1,0,1,9.56787109E-05,0.956787109
0,0,1,1,1,0,1,9.60693359E-05,0.960693359
1,0,1,1,1,0,1,9.76318359E-05,0.976318359
0,1,1,1,1,0,1,9.84130859E-05,0.984130859
1,1,1,1,1,0,1,9.99755859E-05,0.999755859
0,0,0,0,0,1,1,0.000100024414,1.00024414
1,0,0,0,0,1,1,0.000101586914,1.01586914
0,1,0,0,0,1,1,0.000102368164,1.02368164
1,1,0,0,0,1,1,0.000103930664,1.03930664
0,0,1,0,0,1,1,0.000104321289,1.04321289
1,0,1,0,0,1,1,0.000105883789,1.05883789
0,1,1,0,0,1,1,0.000106665039,1.06665039
1,1,1,0,0,1,1,0.000108227539,1.08227539
0,0,0,1,0,1,1,0.000108422852,1.08422852
